SimulationSecond ReceiveRate PacketsReceived NumberOfSinks RoutingProtocol TransmissionPower
0 0 0 10 OLSR 7.5
1 0 0 10 OLSR 7.5
2 0 0 10 OLSR 7.5
3 0 0 10 OLSR 7.5
4 0 0 10 OLSR 7.5
5 0 0 10 OLSR 7.5
6 0 0 10 OLSR 7.5
7 0 0 10 OLSR 7.5
8 0 0 10 OLSR 7.5
9 0 0 10 OLSR 7.5
10 0 0 10 OLSR 7.5
11 0 0 10 OLSR 7.5
12 0 0 10 OLSR 7.5
13 0 0 10 OLSR 7.5
14 0 0 10 OLSR 7.5
15 0.512 1 10 OLSR 7.5
16 0 0 10 OLSR 7.5
17 0 0 10 OLSR 7.5
18 0 0 10 OLSR 7.5
19 0.512 1 10 OLSR 7.5
20 0 0 10 OLSR 7.5
21 1.024 2 10 OLSR 7.5
22 1.024 2 10 OLSR 7.5
23 1.024 2 10 OLSR 7.5
24 1.024 2 10 OLSR 7.5
25 1.024 2 10 OLSR 7.5
26 1.024 2 10 OLSR 7.5
27 1.024 2 10 OLSR 7.5
28 2.048 4 10 OLSR 7.5
29 2.56 5 10 OLSR 7.5
30 1.536 3 10 OLSR 7.5
31 2.048 4 10 OLSR 7.5
32 2.048 4 10 OLSR 7.5
33 2.048 4 10 OLSR 7.5
34 1.536 3 10 OLSR 7.5
35 3.072 6 10 OLSR 7.5
36 3.072 6 10 OLSR 7.5
37 4.096 8 10 OLSR 7.5
38 3.072 6 10 OLSR 7.5
39 3.072 6 10 OLSR 7.5
40 3.584 7 10 OLSR 7.5
41 3.584 7 10 OLSR 7.5
42 3.584 7 10 OLSR 7.5
43 3.584 7 10 OLSR 7.5
44 4.608 9 10 OLSR 7.5
45 6.144 12 10 OLSR 7.5
46 5.632 11 10 OLSR 7.5
47 5.632 11 10 OLSR 7.5
48 6.144 12 10 OLSR 7.5
49 6.144 12 10 OLSR 7.5
50 5.12 10 10 OLSR 7.5
51 4.608 9 10 OLSR 7.5
52 7.168 14 10 OLSR 7.5
53 6.144 12 10 OLSR 7.5
54 5.632 11 10 OLSR 7.5
55 5.12 10 10 OLSR 7.5
56 5.632 11 10 OLSR 7.5
57 6.144 12 10 OLSR 7.5
58 5.632 11 10 OLSR 7.5
59 9.216 18 10 OLSR 7.5
60 7.68 15 10 OLSR 7.5
61 7.68 15 10 OLSR 7.5
62 7.168 14 10 OLSR 7.5
63 7.68 15 10 OLSR 7.5
64 6.144 12 10 OLSR 7.5
65 5.632 11 10 OLSR 7.5
66 6.144 12 10 OLSR 7.5
67 6.144 12 10 OLSR 7.5
68 6.144 12 10 OLSR 7.5
69 7.168 14 10 OLSR 7.5
70 7.68 15 10 OLSR 7.5
71 8.192 16 10 OLSR 7.5
72 8.704 17 10 OLSR 7.5
73 8.704 17 10 OLSR 7.5
74 7.168 14 10 OLSR 7.5
75 7.168 14 10 OLSR 7.5
76 9.216 18 10 OLSR 7.5
77 7.68 15 10 OLSR 7.5
78 7.168 14 10 OLSR 7.5
79 7.168 14 10 OLSR 7.5
80 8.704 17 10 OLSR 7.5
81 8.704 17 10 OLSR 7.5
82 6.144 12 10 OLSR 7.5
83 7.68 15 10 OLSR 7.5
84 10.24 20 10 OLSR 7.5
85 7.168 14 10 OLSR 7.5
86 9.216 18 10 OLSR 7.5
87 8.704 17 10 OLSR 7.5
88 7.68 15 10 OLSR 7.5
89 8.192 16 10 OLSR 7.5
90 9.728 19 10 OLSR 7.5
91 9.216 18 10 OLSR 7.5
92 10.24 20 10 OLSR 7.5
93 10.24 20 10 OLSR 7.5
94 9.216 18 10 OLSR 7.5
95 8.192 16 10 OLSR 7.5
96 8.704 17 10 OLSR 7.5
97 9.216 18 10 OLSR 7.5
98 8.704 17 10 OLSR 7.5
99 9.216 18 10 OLSR 7.5
100 7.68 15 10 OLSR 7.5
101 8.704 17 10 OLSR 7.5
102 8.704 17 10 OLSR 7.5
103 9.728 19 10 OLSR 7.5
104 7.68 15 10 OLSR 7.5
105 9.216 18 10 OLSR 7.5
106 9.728 19 10 OLSR 7.5
107 8.192 16 10 OLSR 7.5
108 9.728 19 10 OLSR 7.5
109 8.192 16 10 OLSR 7.5
110 8.192 16 10 OLSR 7.5
111 8.704 17 10 OLSR 7.5
112 9.728 19 10 OLSR 7.5
113 7.68 15 10 OLSR 7.5
114 8.192 16 10 OLSR 7.5
115 8.192 16 10 OLSR 7.5
116 9.216 18 10 OLSR 7.5
117 8.192 16 10 OLSR 7.5
118 7.68 15 10 OLSR 7.5
119 9.728 19 10 OLSR 7.5
