SimulationSecond ReceiveRate PacketsReceived NumberOfSinks RoutingProtocol TransmissionPower
0 0 0 10 AODV 7.5
1 0 0 10 AODV 7.5
2 0 0 10 AODV 7.5
3 1.024 2 10 AODV 7.5
4 2.048 4 10 AODV 7.5
5 3.584 7 10 AODV 7.5
6 4.096 8 10 AODV 7.5
7 4.096 8 10 AODV 7.5
8 4.096 8 10 AODV 7.5
9 5.12 10 10 AODV 7.5
10 7.68 15 10 AODV 7.5
11 8.192 16 10 AODV 7.5
12 8.192 16 10 AODV 7.5
13 8.192 16 10 AODV 7.5
14 8.192 16 10 AODV 7.5
15 8.192 16 10 AODV 7.5
16 8.192 16 10 AODV 7.5
17 8.192 16 10 AODV 7.5
18 7.68 15 10 AODV 7.5
19 6.144 12 10 AODV 7.5
20 6.144 12 10 AODV 7.5
21 4.608 9 10 AODV 7.5
22 10.24 20 10 AODV 7.5
23 7.68 15 10 AODV 7.5
24 7.168 14 10 AODV 7.5
25 6.144 12 10 AODV 7.5
26 6.144 12 10 AODV 7.5
27 6.144 12 10 AODV 7.5
28 6.144 12 10 AODV 7.5
29 6.144 12 10 AODV 7.5
30 8.704 17 10 AODV 7.5
31 8.192 16 10 AODV 7.5
32 8.192 16 10 AODV 7.5
33 5.12 10 10 AODV 7.5
34 6.144 12 10 AODV 7.5
35 4.096 8 10 AODV 7.5
36 4.096 8 10 AODV 7.5
37 4.096 8 10 AODV 7.5
38 4.096 8 10 AODV 7.5
39 4.096 8 10 AODV 7.5
40 4.096 8 10 AODV 7.5
41 4.096 8 10 AODV 7.5
42 6.656 13 10 AODV 7.5
43 8.192 16 10 AODV 7.5
44 8.192 16 10 AODV 7.5
45 8.192 16 10 AODV 7.5
46 9.216 18 10 AODV 7.5
47 6.144 12 10 AODV 7.5
48 6.144 12 10 AODV 7.5
49 5.632 11 10 AODV 7.5
50 11.776 23 10 AODV 7.5
51 6.144 12 10 AODV 7.5
52 6.144 12 10 AODV 7.5
53 6.144 12 10 AODV 7.5
54 6.144 12 10 AODV 7.5
55 6.144 12 10 AODV 7.5
56 6.144 12 10 AODV 7.5
57 6.144 12 10 AODV 7.5
58 6.144 12 10 AODV 7.5
59 6.144 12 10 AODV 7.5
60 6.144 12 10 AODV 7.5
61 6.144 12 10 AODV 7.5
62 6.144 12 10 AODV 7.5
63 6.144 12 10 AODV 7.5
64 6.144 12 10 AODV 7.5
65 5.632 11 10 AODV 7.5
66 6.144 12 10 AODV 7.5
67 6.144 12 10 AODV 7.5
68 6.144 12 10 AODV 7.5
69 6.144 12 10 AODV 7.5
70 6.144 12 10 AODV 7.5
71 6.144 12 10 AODV 7.5
72 7.68 15 10 AODV 7.5
73 8.192 16 10 AODV 7.5
74 8.192 16 10 AODV 7.5
75 8.192 16 10 AODV 7.5
76 8.192 16 10 AODV 7.5
77 7.68 15 10 AODV 7.5
78 5.632 11 10 AODV 7.5
79 9.216 18 10 AODV 7.5
80 8.192 16 10 AODV 7.5
81 8.192 16 10 AODV 7.5
82 8.192 16 10 AODV 7.5
83 7.68 15 10 AODV 7.5
84 8.192 16 10 AODV 7.5
85 8.192 16 10 AODV 7.5
86 8.192 16 10 AODV 7.5
87 8.192 16 10 AODV 7.5
88 8.192 16 10 AODV 7.5
89 9.728 19 10 AODV 7.5
90 9.728 19 10 AODV 7.5
91 9.728 19 10 AODV 7.5
92 8.704 17 10 AODV 7.5
93 6.656 13 10 AODV 7.5
94 10.24 20 10 AODV 7.5
95 8.192 16 10 AODV 7.5
96 8.192 16 10 AODV 7.5
97 6.656 13 10 AODV 7.5
98 7.168 14 10 AODV 7.5
99 8.192 16 10 AODV 7.5
100 7.168 14 10 AODV 7.5
101 5.632 11 10 AODV 7.5
102 6.144 12 10 AODV 7.5
103 6.144 12 10 AODV 7.5
104 4.096 8 10 AODV 7.5
105 4.096 8 10 AODV 7.5
106 4.096 8 10 AODV 7.5
107 4.096 8 10 AODV 7.5
108 3.584 7 10 AODV 7.5
109 4.096 8 10 AODV 7.5
110 5.12 10 10 AODV 7.5
111 4.608 9 10 AODV 7.5
112 4.096 8 10 AODV 7.5
113 4.096 8 10 AODV 7.5
114 7.68 15 10 AODV 7.5
115 6.144 12 10 AODV 7.5
116 6.144 12 10 AODV 7.5
117 6.144 12 10 AODV 7.5
118 6.144 12 10 AODV 7.5
119 5.632 11 10 AODV 7.5
