SimulationSecond ReceiveRate PacketsReceived NumberOfSinks RoutingProtocol TransmissionPower
0 0 0 10 OLSR 7.5
1 0 0 10 OLSR 7.5
2 0 0 10 OLSR 7.5
3 1.024 2 10 OLSR 7.5
4 2.048 4 10 OLSR 7.5
5 3.584 7 10 OLSR 7.5
6 4.096 8 10 OLSR 7.5
7 4.096 8 10 OLSR 7.5
8 4.096 8 10 OLSR 7.5
9 5.12 10 10 OLSR 7.5
10 7.68 15 10 OLSR 7.5
11 8.192 16 10 OLSR 7.5
12 8.192 16 10 OLSR 7.5
13 8.192 16 10 OLSR 7.5
14 8.192 16 10 OLSR 7.5
15 8.192 16 10 OLSR 7.5
16 8.192 16 10 OLSR 7.5
17 8.192 16 10 OLSR 7.5
18 7.68 15 10 OLSR 7.5
19 6.144 12 10 OLSR 7.5
20 6.144 12 10 OLSR 7.5
21 6.656 13 10 OLSR 7.5
22 8.192 16 10 OLSR 7.5
23 7.68 15 10 OLSR 7.5
24 5.12 10 10 OLSR 7.5
25 5.12 10 10 OLSR 7.5
26 6.144 12 10 OLSR 7.5
27 6.144 12 10 OLSR 7.5
28 5.632 11 10 OLSR 7.5
29 6.144 12 10 OLSR 7.5
30 8.192 16 10 OLSR 7.5
31 8.192 16 10 OLSR 7.5
32 8.192 16 10 OLSR 7.5
33 6.144 12 10 OLSR 7.5
34 6.144 12 10 OLSR 7.5
35 4.096 8 10 OLSR 7.5
36 4.096 8 10 OLSR 7.5
37 4.096 8 10 OLSR 7.5
38 4.096 8 10 OLSR 7.5
39 4.096 8 10 OLSR 7.5
40 4.096 8 10 OLSR 7.5
41 6.144 12 10 OLSR 7.5
42 6.144 12 10 OLSR 7.5
43 8.192 16 10 OLSR 7.5
44 8.192 16 10 OLSR 7.5
45 8.192 16 10 OLSR 7.5
46 6.144 12 10 OLSR 7.5
47 5.12 10 10 OLSR 7.5
48 4.096 8 10 OLSR 7.5
49 5.12 10 10 OLSR 7.5
50 4.096 8 10 OLSR 7.5
51 4.096 8 10 OLSR 7.5
52 4.096 8 10 OLSR 7.5
53 5.632 11 10 OLSR 7.5
54 6.144 12 10 OLSR 7.5
55 6.144 12 10 OLSR 7.5
56 6.144 12 10 OLSR 7.5
57 6.144 12 10 OLSR 7.5
58 6.144 12 10 OLSR 7.5
59 6.144 12 10 OLSR 7.5
60 6.144 12 10 OLSR 7.5
61 6.144 12 10 OLSR 7.5
62 6.144 12 10 OLSR 7.5
63 6.144 12 10 OLSR 7.5
64 6.144 12 10 OLSR 7.5
65 5.12 10 10 OLSR 7.5
66 4.096 8 10 OLSR 7.5
67 4.096 8 10 OLSR 7.5
68 4.096 8 10 OLSR 7.5
69 4.096 8 10 OLSR 7.5
70 4.096 8 10 OLSR 7.5
71 4.096 8 10 OLSR 7.5
72 5.632 11 10 OLSR 7.5
73 6.144 12 10 OLSR 7.5
74 6.144 12 10 OLSR 7.5
75 6.144 12 10 OLSR 7.5
76 6.144 12 10 OLSR 7.5
77 6.144 12 10 OLSR 7.5
78 4.096 8 10 OLSR 7.5
79 4.096 8 10 OLSR 7.5
80 4.096 8 10 OLSR 7.5
81 5.632 11 10 OLSR 7.5
82 4.096 8 10 OLSR 7.5
83 2.56 5 10 OLSR 7.5
84 2.048 4 10 OLSR 7.5
85 2.048 4 10 OLSR 7.5
86 2.048 4 10 OLSR 7.5
87 3.584 7 10 OLSR 7.5
88 4.096 8 10 OLSR 7.5
89 7.68 15 10 OLSR 7.5
90 8.704 17 10 OLSR 7.5
91 5.632 11 10 OLSR 7.5
92 4.096 8 10 OLSR 7.5
93 3.072 6 10 OLSR 7.5
94 0 0 10 OLSR 7.5
95 1.024 2 10 OLSR 7.5
96 2.048 4 10 OLSR 7.5
97 0.512 1 10 OLSR 7.5
98 0 0 10 OLSR 7.5
99 1.024 2 10 OLSR 7.5
100 2.048 4 10 OLSR 7.5
101 3.072 6 10 OLSR 7.5
102 2.048 4 10 OLSR 7.5
103 1.536 3 10 OLSR 7.5
104 2.048 4 10 OLSR 7.5
105 2.048 4 10 OLSR 7.5
106 3.584 7 10 OLSR 7.5
107 4.096 8 10 OLSR 7.5
108 4.096 8 10 OLSR 7.5
109 4.096 8 10 OLSR 7.5
110 4.096 8 10 OLSR 7.5
111 4.096 8 10 OLSR 7.5
112 4.096 8 10 OLSR 7.5
113 4.096 8 10 OLSR 7.5
114 4.096 8 10 OLSR 7.5
115 4.096 8 10 OLSR 7.5
116 4.096 8 10 OLSR 7.5
117 4.096 8 10 OLSR 7.5
118 4.096 8 10 OLSR 7.5
119 4.096 8 10 OLSR 7.5
